,Course,State,Gender,Mental Health Rating,Family History,Sleep Duration,Counselling Service Usage,Family Structure,First Time Away From Home,"Importance of Prayer,Meditation",Stress Score,Length of Stay,Coping Strategies
234,BCom,West Bengal,Male,4,No,Less than 4 hours,Yes,Nuclear Family,Yes,3,4,More than 1 year,Sleeping
235,MSc DS,Uttar Pradesh,Male,3,No,Less than 4 hours,No,Nuclear Family,No,3,4,More than 1 year,Reading
236,BSc DS,West Bengal,Male,2,No,4-6 hours,No,Nuclear Family,No,4,3,More than 1 year,Watching movies/series
237,MSc EA,Telangana,Male,2,Yes,4-6 hours,No,Joint Family,No,2,5,More than 1 year,Reading
238,MSc DS,Haryana,Female,2,Yes,7-8 hours,Yes,Nuclear Family,Yes,3,5,More than 1 year,Meditation
239,BA LLB,Maharashtra,Male,5,No,More than 8 hours,No,Joint Family,Yes,5,1,More than 2 years,Listening music
240,BSc EA,Himachal Pradesh,Male,5,No,4-6 hours,No,Nuclear Family,Yes,2,3,More than 1 year,Reading
241,MBA,Chhattisgarh,Male,1,No,4-6 hours,Yes,Nuclear Family,Yes,5,5,More than 1 year,Watching movies/series
242,MSc EA,Punjab,Female,2,Yes,4-6 hours,No,Nuclear Family,Yes,4,5,More than 1 year,Listening music
243,BBA LLB,Jammu & Kashmir,Male,4,No,7-8 hours,No,Joint Family,Yes,4,3,More than 1 year,Reading
244,BCom,Manipur,Female,4,No,Less than 4 hours,No,Nuclear Family,No,4,2,More than 2 years,Watching movies/series
245,LLM,Jammu & Kashmir,Female,2,No,Less than 4 hours,No,Joint Family,Yes,1,2,Less than 6 months,Sleeping
246,Msc GFA,Kerala,Female,3,No,7-8 hours,Yes,Joint Family,No,5,2,More than 2 years,Sleeping
247,BBA LLB,Karnataka,Male,2,No,Less than 4 hours,No,Nuclear Family,Yes,4,3,More than 1 year,Listening music
248,BBA LLB,Odisha,Male,2,Yes,4-6 hours,Yes,Nuclear Family,No,2,1,More than 2 years,Sports
249,BCom,Sikkim,Male,4,No,7-8 hours,No,Joint Family,Yes,4,3,More than 1 year,Meditation
250,BBA LLB,Telangana,Male,4,No,4-6 hours,No,Nuclear Family,Yes,2,4,More than 1 year,Listening music
251,BSc DS,Jharkhand,Female,2,Yes,Less than 4 hours,No,Joint Family,Yes,3,4,Less than 6 months,Watching movies/series
252,MA English,Bihar,Male,1,No,7-8 hours,No,Nuclear Family,Yes,1,2,More than 1 year,Reading
253,BBA,Goa,Male,5,No,4-6 hours,Yes,Nuclear Family,Yes,2,2,Less than 6 months,Sports
254,BCom,Andhra Pradesh,Female,2,Yes,7-8 hours,No,Nuclear Family,Yes,1,5,Less than 6 months,Reading
255,BA,Assam,Male,2,No,4-6 hours,Yes,Joint Family,Yes,2,1,More than 1 year,Sports
256,Msc GFA,Gujarat,Male,5,No,7-8 hours,No,Nuclear Family,No,5,2,More than 1 year,Listening music
257,BA LLB,Karnataka,Female,3,No,More than 8 hours,No,Nuclear Family,Yes,5,1,More than 1 year,Watching movies/series
258,Msc GFA,Andhra Pradesh,Female,3,No,4-6 hours,No,Joint Family,No,4,4,Less than 6 months,Sports
259,BSc EA,Kerala,Female,4,No,7-8 hours,No,Nuclear Family,Yes,5,3,Less than 6 months,Meditation
260,BBA,Haryana,Male,1,No,7-8 hours,No,Joint Family,No,3,3,Less than 6 months,Sleeping
261,MSc EA,Goa,Female,4,No,4-6 hours,No,Nuclear Family,No,3,5,More than 1 year,Listening music
262,MSc DS,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,No,4,5,More than 1 year,Listening music
263,MBA,West Bengal,Female,2,Yes,4-6 hours,No,Nuclear Family,No,3,4,More than 1 year,Sleeping
264,BA LLB,Haryana,Female,2,No,Less than 4 hours,No,Nuclear Family,No,3,4,More than 2 years,Sleeping
265,MBA,Bihar,Male,5,No,4-6 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Listening music
266,Msc GFA,Karnataka,Male,4,No,4-6 hours,No,Nuclear Family,No,2,4,More than 1 year,Watching movies/series
267,BBA LLB,Haryana,Male,2,No,7-8 hours,No,Nuclear Family,Yes,4,3,More than 1 year,Meditation
268,BA LLB,Tamil Nadu,Female,2,Yes,More than 8 hours,No,Nuclear Family,Yes,2,3,More than 1 year,Sleeping
269,BA LLB,Bihar,Male,3,No,7-8 hours,Yes,Nuclear Family,No,3,3,More than 1 year,Watching movies/series
270,BSc DS,Bihar,Female,4,No,4-6 hours,Yes,Joint Family,No,2,4,More than 1 year,Meditation
271,BA LLB,Uttar Pradesh,Female,3,Yes,4-6 hours,Yes,Nuclear Family,Yes,2,2,More than 1 year,Sleeping
272,MSc DS,Telangana,Female,4,Yes,4-6 hours,Yes,Nuclear Family,Yes,2,3,More than 1 year,Sleeping
273,BA LLB,Tripura,Female,3,No,7-8 hours,No,Joint Family,No,3,5,More than 1 year,Listening music
274,MSc DS,Haryana,Female,5,No,4-6 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Sleeping
275,BBA LLB,Kerala,Female,1,Yes,More than 8 hours,No,Nuclear Family,No,4,1,Less than 6 months,Sleeping
276,MBA,Chhattisgarh,Male,2,No,7-8 hours,No,Nuclear Family,No,3,3,More than 1 year,Reading
277,BBA LLB,Gujarat,Male,2,No,7-8 hours,Yes,Joint Family,No,2,3,More than 1 year,Listening music
278,BBA LLB,Gujarat,Other,1,Yes,Less than 4 hours,No,Joint Family,Yes,2,5,Less than 6 months,Watching movies/series
279,MA English,Nagaland,Female,2,No,4-6 hours,No,Nuclear Family,Yes,3,3,More than 1 year,Sports
280,MBA,Assam,Male,5,No,More than 8 hours,No,Nuclear Family,Yes,5,2,More than 2 years,Watching movies/series
281,MSc EA,Chhattisgarh,Male,3,No,4-6 hours,No,Nuclear Family,No,5,1,More than 1 year,Sleeping
282,BA LLB,Telangana,Female,4,Yes,7-8 hours,Yes,Joint Family,Yes,2,4,Less than 6 months,Watching movies/series
283,BBA LLB,Madhya Pradesh,Female,2,No,4-6 hours,No,Joint Family,Yes,1,2,More than 1 year,Meditation
284,BSc EA,Jharkhand,Female,2,No,7-8 hours,No,Joint Family,Yes,3,3,Less than 6 months,Watching movies/series
285,BSc DS,Jammu & Kashmir,Female,2,No,4-6 hours,No,Nuclear Family,No,3,3,More than 1 year,Watching movies/series
286,BA LLB,Himachal Pradesh,Female,3,Yes,Less than 4 hours,Yes,Nuclear Family,Yes,3,2,Less than 6 months,Listening music
287,MBA,Gujarat,Female,2,No,More than 8 hours,No,Joint Family,No,1,1,More than 1 year,Watching movies/series
288,MBA,Chhattisgarh,Other,3,No,More than 8 hours,No,Nuclear Family,No,4,3,Less than 6 months,Sports
289,MBA,Maharashtra,Female,1,Yes,4-6 hours,Yes,Nuclear Family,No,4,5,Less than 6 months,Watching movies/series
290,Msc GFA,Karnataka,Male,4,No,7-8 hours,No,Joint Family,Yes,3,3,More than 1 year,Watching movies/series
291,BBA,Assam,Female,2,No,More than 8 hours,No,Nuclear Family,Yes,2,2,More than 1 year,Sports
292,BBA,Haryana,Female,2,Yes,4-6 hours,Yes,Joint Family,No,2,3,More than 2 years,Sports
293,BSc DS,Kerala,Male,5,No,4-6 hours,No,Nuclear Family,No,1,1,Less than 6 months,Other
294,BBA,Jharkhand,Male,2,No,4-6 hours,No,Joint Family,Yes,1,3,More than 1 year,Reading
296,BBA,Rajasthan,Female,4,No,7-8 hours,No,Joint Family,Yes,3,2,More than 1 year,Reading
297,MSc DS,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,No,3,5,More than 1 year,Listening music
298,MBA,Tamil Nadu,Female,2,No,4-6 hours,No,Nuclear Family,No,2,4,More than 1 year,Sleeping
299,BBA LLB,Kerala,Female,2,No,4-6 hours,No,Joint Family,Yes,4,4,More than 1 year,Listening music
300,MSc DS,Karnataka,Male,4,No,4-6 hours,No,Nuclear Family,Yes,5,5,More than 1 year,Watching movies/series
301,BSc DS,Punjab,Female,3,No,4-6 hours,No,Joint Family,Yes,1,3,Less than 6 months,Sleeping
302,BBA,Maharashtra,Male,3,No,4-6 hours,No,Nuclear Family,Yes,2,2,Less than 6 months,Sleeping
303,MBA,Goa,Male,2,Yes,Less than 4 hours,Yes,Nuclear Family,Yes,2,2,Less than 6 months,Watching movies/series
304,MA English,Tamil Nadu,Male,4,Yes,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Watching movies/series
305,BCom,Kerala,Female,1,No,7-8 hours,No,Joint Family,No,1,1,More than 1 year,Sports
306,MSc DS,Maharashtra,Other,5,No,More than 8 hours,No,Joint Family,No,5,1,More than 1 year,Watching movies/series
307,MBA,Tamil Nadu,Male,4,No,Less than 4 hours,No,Joint Family,Yes,3,4,Less than 6 months,Listening music
308,MBA,Kerala,Male,4,No,Less than 4 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Sleeping
309,MBA,Kerala,Male,4,No,Less than 4 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Sleeping
310,MBA,Kerala,Male,4,No,Less than 4 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Sleeping
311,MBA,Kerala,Female,4,No,Less than 4 hours,No,Joint Family,No,3,4,Less than 6 months,Listening music
312,MBA,Kerala,Female,4,No,Less than 4 hours,Yes,Joint Family,No,2,5,Less than 6 months,Sleeping
313,MBA,Tamil Nadu,Female,4,No,Less than 4 hours,No,Joint Family,No,3,4,Less than 6 months,Listening music
314,MBA,West Bengal,Male,4,No,4-6 hours,No,Joint Family,Yes,4,4,Less than 6 months,Sports
